,dataset,model,algorithm,fold,metric,value
189,Permeability,ECFP4,linear,3,MAE,2.1160904514321053
190,Permeability,ECFP4,linear,3,RMSE,2.68519467965367
191,Permeability,ECFP4,linear,3,R2,-14.023599511970348
192,Permeability,ECFP4,linear,4,MAE,2.203998966969344
193,Permeability,ECFP4,linear,4,RMSE,2.877424642720635
194,Permeability,ECFP4,linear,4,R2,-16.18727920483702
195,Permeability,ECFP4,svm,0,MAE,0.36748024220394176
196,Permeability,ECFP4,svm,0,RMSE,0.4764084722773456
197,Permeability,ECFP4,svm,0,R2,0.47786105132797807
198,Permeability,ECFP4,svm,1,MAE,0.4151065384150206
199,Permeability,ECFP4,svm,1,RMSE,0.5221347717992899
200,Permeability,ECFP4,svm,1,R2,0.47922143944871287
201,Permeability,ECFP4,svm,2,MAE,0.36669059773944745
202,Permeability,ECFP4,svm,2,RMSE,0.47881733928464176
203,Permeability,ECFP4,svm,2,R2,0.4856146639568204
204,Permeability,ECFP4,svm,3,MAE,0.3880212159350409
205,Permeability,ECFP4,svm,3,RMSE,0.4881613409047692
206,Permeability,ECFP4,svm,3,R2,0.5034657525879517
207,Permeability,ECFP4,svm,4,MAE,0.39007943164354353
208,Permeability,ECFP4,svm,4,RMSE,0.4929663809124911
209,Permeability,ECFP4,svm,4,R2,0.495531771220484
210,Permeability,ECFP4,random-forest,0,MAE,0.41626639346410205
211,Permeability,ECFP4,random-forest,0,RMSE,0.5231967379034042
212,Permeability,ECFP4,random-forest,0,R2,0.37026592597316854
213,Permeability,ECFP4,random-forest,1,MAE,0.45682460435024624
214,Permeability,ECFP4,random-forest,1,RMSE,0.5910320273388076
215,Permeability,ECFP4,random-forest,1,R2,0.3327172541390311
216,Permeability,ECFP4,random-forest,2,MAE,0.40501927738842797
217,Permeability,ECFP4,random-forest,2,RMSE,0.5185998426622889
218,Permeability,ECFP4,random-forest,2,R2,0.39658847243841755
219,Permeability,ECFP4,random-forest,3,MAE,0.43278821367251896
220,Permeability,ECFP4,random-forest,3,RMSE,0.5445035366481584
221,Permeability,ECFP4,random-forest,3,R2,0.3822342141773336
222,Permeability,ECFP4,random-forest,4,MAE,0.4324305045972968
223,Permeability,ECFP4,random-forest,4,RMSE,0.5517591862621483
224,Permeability,ECFP4,random-forest,4,R2,0.36802723927323866
225,Permeability,MolFormer,linear,0,MAE,0.468496850734232
226,Permeability,MolFormer,linear,0,RMSE,0.5985130713290227
227,Permeability,MolFormer,linear,0,R2,0.1759104304495862
228,Permeability,MolFormer,linear,1,MAE,0.47147843801235917
229,Permeability,MolFormer,linear,1,RMSE,0.5858961447320585
230,Permeability,MolFormer,linear,1,R2,0.3442638219757159
231,Permeability,MolFormer,linear,2,MAE,0.4348386555532768
232,Permeability,MolFormer,linear,2,RMSE,0.5561829404144127
233,Permeability,MolFormer,linear,2,R2,0.30596053091786823
234,Permeability,MolFormer,linear,3,MAE,0.4370543083598239
235,Permeability,MolFormer,linear,3,RMSE,0.5616557222454003
236,Permeability,MolFormer,linear,3,R2,0.34270123277201014
237,Permeability,MolFormer,linear,4,MAE,0.44732627334112635
238,Permeability,MolFormer,linear,4,RMSE,0.5719894726111812
239,Permeability,MolFormer,linear,4,R2,0.32083501672164516
240,Permeability,MolFormer,svm,0,MAE,0.35106741373905653
241,Permeability,MolFormer,svm,0,RMSE,0.45721543065464804
242,Permeability,MolFormer,svm,0,R2,0.5190843655948997
243,Permeability,MolFormer,svm,1,MAE,0.39480266530701974
244,Permeability,MolFormer,svm,1,RMSE,0.5071347358821713
245,Permeability,MolFormer,svm,1,R2,0.5087137820510133
246,Permeability,MolFormer,svm,2,MAE,0.36109280796991516
247,Permeability,MolFormer,svm,2,RMSE,0.46783122397247634
248,Permeability,MolFormer,svm,2,R2,0.5089482653498867
249,Permeability,MolFormer,svm,3,MAE,0.3638926524373255
250,Permeability,MolFormer,svm,3,RMSE,0.47678942975537836
251,Permeability,MolFormer,svm,3,R2,0.5263302182816191
252,Permeability,MolFormer,svm,4,MAE,0.3593757327552016
253,Permeability,MolFormer,svm,4,RMSE,0.473631994270825
254,Permeability,MolFormer,svm,4,R2,0.5343267639436622
255,Permeability,MolFormer,random-forest,0,MAE,0.46078987501962193
256,Permeability,MolFormer,random-forest,0,RMSE,0.5551462720374306
