,dataset,model,algorithm,fold,metric,value
290,Permeability,PhysChem,svm,1,R2,0.5557715594006394
291,Permeability,PhysChem,svm,2,MAE,0.37935843886970294
292,Permeability,PhysChem,svm,2,RMSE,0.5014494364072771
293,Permeability,PhysChem,svm,2,R2,0.5175548932948387
294,Permeability,PhysChem,svm,3,MAE,0.3686232989299185
295,Permeability,PhysChem,svm,3,RMSE,0.4827313295844555
296,Permeability,PhysChem,svm,3,R2,0.4635582294552594
297,Permeability,PhysChem,svm,4,MAE,0.37792556122747656
298,Permeability,PhysChem,svm,4,RMSE,0.5016153760457822
299,Permeability,PhysChem,svm,4,R2,0.45503250706389453
300,Permeability,PhysChem,random-forest,0,MAE,0.400646548893227
301,Permeability,PhysChem,random-forest,0,RMSE,0.5070913297574403
302,Permeability,PhysChem,random-forest,0,R2,0.4510454635923056
303,Permeability,PhysChem,random-forest,1,MAE,0.3715228328057194
304,Permeability,PhysChem,random-forest,1,RMSE,0.48692550764732345
305,Permeability,PhysChem,random-forest,1,R2,0.4983090376238366
306,Permeability,PhysChem,random-forest,2,MAE,0.4170724775006202
307,Permeability,PhysChem,random-forest,2,RMSE,0.5276313282682668
308,Permeability,PhysChem,random-forest,2,R2,0.4658604222199726
309,Permeability,PhysChem,random-forest,3,MAE,0.3695408854434483
310,Permeability,PhysChem,random-forest,3,RMSE,0.4820423035919425
311,Permeability,PhysChem,random-forest,3,R2,0.4650885156030421
312,Permeability,PhysChem,random-forest,4,MAE,0.3994456123720195
313,Permeability,PhysChem,random-forest,4,RMSE,0.5145400418742305
314,Permeability,PhysChem,random-forest,4,R2,0.42658734733834947
315,Permeability,MolBERT,linear,0,MAE,0.40872376181284986
316,Permeability,MolBERT,linear,0,RMSE,0.5158103112108096
317,Permeability,MolBERT,linear,0,R2,0.4320056085595526
318,Permeability,MolBERT,linear,1,MAE,0.4293430497125153
319,Permeability,MolBERT,linear,1,RMSE,0.543747887157564
320,Permeability,MolBERT,linear,1,R2,0.37438609765779396
321,Permeability,MolBERT,linear,2,MAE,0.43388815911014905
322,Permeability,MolBERT,linear,2,RMSE,0.5744494214089126
323,Permeability,MolBERT,linear,2,R2,0.36686371521722205
324,Permeability,MolBERT,linear,3,MAE,0.4570377304385335
325,Permeability,MolBERT,linear,3,RMSE,0.5824381130527636
326,Permeability,MolBERT,linear,3,R2,0.2190716519898359
327,Permeability,MolBERT,linear,4,MAE,0.4567093904513066
