,objective,dataset,algorithm,da,train_size,fold,metric,value
205,mtr,Solubility,linear,CL,0,4,RMSE,0.8153068473245418
206,mtr,Solubility,linear,CL,0,4,R2,-0.498644627810064
207,mtr,Solubility,linear,MTR,0,4,MAE,0.6363062672576709
208,mtr,Solubility,linear,MTR,0,4,RMSE,0.8355734997445078
209,mtr,Solubility,linear,MTR,0,4,R2,-0.574076363065865
210,mtr,Solubility,random-forest,No DA,0,0,MAE,0.5077423496966872
211,mtr,Solubility,random-forest,No DA,0,0,RMSE,0.6566989722582384
212,mtr,Solubility,random-forest,No DA,0,0,R2,0.0783185930809253
213,mtr,Solubility,random-forest,No DA,30,0,MAE,0.4477094911627689
214,mtr,Solubility,random-forest,No DA,30,0,RMSE,0.6032593800729047
215,mtr,Solubility,random-forest,No DA,30,0,R2,0.2222208079443132
216,mtr,Solubility,random-forest,No DA,60,0,MAE,0.4533954864907532
217,mtr,Solubility,random-forest,No DA,60,0,RMSE,0.6091278748977619
218,mtr,Solubility,random-forest,No DA,60,0,R2,0.2070147639893896
219,mtr,Solubility,random-forest,No DA,100,0,MAE,0.4487556684169591
220,mtr,Solubility,random-forest,No DA,100,0,RMSE,0.6048646343769776
221,mtr,Solubility,random-forest,No DA,100,0,R2,0.2180760085724978
222,mtr,Solubility,random-forest,MLM,0,0,MAE,0.5182459080580065
223,mtr,Solubility,random-forest,MLM,0,0,RMSE,0.6801944382421834
224,mtr,Solubility,random-forest,MLM,0,0,R2,0.0111866838364862
225,mtr,Solubility,random-forest,CL,0,0,MAE,0.4929791160837544
226,mtr,Solubility,random-forest,CL,0,0,RMSE,0.6505081142048385
227,mtr,Solubility,random-forest,CL,0,0,R2,0.0956145021474905
228,mtr,Solubility,random-forest,MTR,0,0,MAE,0.4567445968009191
229,mtr,Solubility,random-forest,MTR,0,0,RMSE,0.617952340846658
230,mtr,Solubility,random-forest,MTR,0,0,R2,0.1838723030717003
231,mtr,Solubility,random-forest,No DA,0,1,MAE,0.4674530711298602
232,mtr,Solubility,random-forest,No DA,0,1,RMSE,0.6331235264182802
233,mtr,Solubility,random-forest,No DA,0,1,R2,0.0289616716924674
234,mtr,Solubility,random-forest,No DA,30,1,MAE,0.4058245573405166
235,mtr,Solubility,random-forest,No DA,30,1,RMSE,0.5604337175086871
236,mtr,Solubility,random-forest,No DA,30,1,R2,0.239134345239755
237,mtr,Solubility,random-forest,No DA,60,1,MAE,0.4163364084569657
238,mtr,Solubility,random-forest,No DA,60,1,RMSE,0.5686962988227394
239,mtr,Solubility,random-forest,No DA,60,1,R2,0.2165337869268736
240,mtr,Solubility,random-forest,No DA,100,1,MAE,0.4007210118324399
241,mtr,Solubility,random-forest,No DA,100,1,RMSE,0.5573247038035642
242,mtr,Solubility,random-forest,No DA,100,1,R2,0.2475527549004315
243,mtr,Solubility,random-forest,MLM,0,1,MAE,0.4852789885493737
244,mtr,Solubility,random-forest,MLM,0,1,RMSE,0.6596425061830292
245,mtr,Solubility,random-forest,MLM,0,1,R2,-0.0540876736043531
246,mtr,Solubility,random-forest,CL,0,1,MAE,0.4706036221169373
247,mtr,Solubility,random-forest,CL,0,1,RMSE,0.6378033030597601
248,mtr,Solubility,random-forest,CL,0,1,R2,0.0145536238506253
249,mtr,Solubility,random-forest,MTR,0,1,MAE,0.4020798667712243
250,mtr,Solubility,random-forest,MTR,0,1,RMSE,0.5703775552903959
251,mtr,Solubility,random-forest,MTR,0,1,R2,0.2118945631660779
252,mtr,Solubility,random-forest,No DA,0,2,MAE,0.5085965392328267
253,mtr,Solubility,random-forest,No DA,0,2,RMSE,0.6842023308193097
254,mtr,Solubility,random-forest,No DA,0,2,R2,0.044693113796568
255,mtr,Solubility,random-forest,No DA,30,2,MAE,0.4350020726619001
256,mtr,Solubility,random-forest,No DA,30,2,RMSE,0.599763121936956
257,mtr,Solubility,random-forest,No DA,30,2,R2,0.2659370129820541
258,mtr,Solubility,random-forest,No DA,60,2,MAE,0.4237543267975772
259,mtr,Solubility,random-forest,No DA,60,2,RMSE,0.6032731874274914
260,mtr,Solubility,random-forest,No DA,60,2,R2,0.2573197814012834
261,mtr,Solubility,random-forest,No DA,100,2,MAE,0.4117733406053206
262,mtr,Solubility,random-forest,No DA,100,2,RMSE,0.5885390128669663
263,mtr,Solubility,random-forest,No DA,100,2,R2,0.2931547845783345
264,mtr,Solubility,random-forest,MLM,0,2,MAE,0.5060561513071021
265,mtr,Solubility,random-forest,MLM,0,2,RMSE,0.6887462094655562
266,mtr,Solubility,random-forest,MLM,0,2,R2,0.0319623402378143
267,mtr,Solubility,random-forest,CL,0,2,MAE,0.4931908682904513
268,mtr,Solubility,random-forest,CL,0,2,RMSE,0.6724125510402518
269,mtr,Solubility,random-forest,CL,0,2,R2,0.0773320563235193
270,mtr,Solubility,random-forest,MTR,0,2,MAE,0.4390031457495724
