,objective,dataset,algorithm,da,train_size,fold,metric,value
227,mtr,Solubility,random-forest,CL,0,0,R2,0.0908982632850028
228,mtr,Solubility,random-forest,MTR,0,0,MAE,0.4331027989581609
229,mtr,Solubility,random-forest,MTR,0,0,RMSE,0.5906739572156144
230,mtr,Solubility,random-forest,MTR,0,0,R2,0.2795515856578441
231,mtr,Solubility,random-forest,No DA,0,1,MAE,0.4719596733860705
232,mtr,Solubility,random-forest,No DA,0,1,RMSE,0.6246821134782589
233,mtr,Solubility,random-forest,No DA,0,1,R2,0.0356354496360171
234,mtr,Solubility,random-forest,No DA,30,1,MAE,0.3958660496799732
235,mtr,Solubility,random-forest,No DA,30,1,RMSE,0.537886025852501
236,mtr,Solubility,random-forest,No DA,30,1,R2,0.2850039892543109
237,mtr,Solubility,random-forest,No DA,60,1,MAE,0.3927430115940785
238,mtr,Solubility,random-forest,No DA,60,1,RMSE,0.52888866969306
239,mtr,Solubility,random-forest,No DA,60,1,R2,0.308723772350937
240,mtr,Solubility,random-forest,No DA,100,1,MAE,0.3967634906469709
241,mtr,Solubility,random-forest,No DA,100,1,RMSE,0.5371531485487453
242,mtr,Solubility,random-forest,No DA,100,1,R2,0.2869510462207391
243,mtr,Solubility,random-forest,MLM,0,1,MAE,0.457729461181864
244,mtr,Solubility,random-forest,MLM,0,1,RMSE,0.6143170857909844
245,mtr,Solubility,random-forest,MLM,0,1,R2,0.0673723558017757
246,mtr,Solubility,random-forest,CL,0,1,MAE,0.4507828235195364
247,mtr,Solubility,random-forest,CL,0,1,RMSE,0.6059715319562063
248,mtr,Solubility,random-forest,CL,0,1,R2,0.0925398987829076
249,mtr,Solubility,random-forest,MTR,0,1,MAE,0.4120156537140306
250,mtr,Solubility,random-forest,MTR,0,1,RMSE,0.5714450045678339
251,mtr,Solubility,random-forest,MTR,0,1,R2,0.1930028950560051
252,mtr,Solubility,random-forest,No DA,0,2,MAE,0.4843073735504685
253,mtr,Solubility,random-forest,No DA,0,2,RMSE,0.6423014010949081
254,mtr,Solubility,random-forest,No DA,0,2,R2,0.0898063361939345
255,mtr,Solubility,random-forest,No DA,30,2,MAE,0.4209664933106375
256,mtr,Solubility,random-forest,No DA,30,2,RMSE,0.5838985335309371
257,mtr,Solubility,random-forest,No DA,30,2,R2,0.2478043142351739
258,mtr,Solubility,random-forest,No DA,60,2,MAE,0.4195902602973909
259,mtr,Solubility,random-forest,No DA,60,2,RMSE,0.5790173045339118
260,mtr,Solubility,random-forest,No DA,60,2,R2,0.2603280396492367
261,mtr,Solubility,random-forest,No DA,100,2,MAE,0.4157476717293545
262,mtr,Solubility,random-forest,No DA,100,2,RMSE,0.5821726964528915
263,mtr,Solubility,random-forest,No DA,100,2,R2,0.2522442935278133
264,mtr,Solubility,random-forest,MLM,0,2,MAE,0.4925287001572082
265,mtr,Solubility,random-forest,MLM,0,2,RMSE,0.6688245517354903
266,mtr,Solubility,random-forest,MLM,0,2,R2,0.0130833328461905
267,mtr,Solubility,random-forest,CL,0,2,MAE,0.469707981222066
268,mtr,Solubility,random-forest,CL,0,2,RMSE,0.6480485078273039
269,mtr,Solubility,random-forest,CL,0,2,R2,0.0734452238266732
270,mtr,Solubility,random-forest,MTR,0,2,MAE,0.4237421289656106
271,mtr,Solubility,random-forest,MTR,0,2,RMSE,0.5945283835328635
272,mtr,Solubility,random-forest,MTR,0,2,R2,0.2201676349144535
273,mtr,Solubility,random-forest,No DA,0,3,MAE,0.5186015976376037
274,mtr,Solubility,random-forest,No DA,0,3,RMSE,0.7041301633717713
275,mtr,Solubility,random-forest,No DA,0,3,R2,0.0362487985409628
276,mtr,Solubility,random-forest,No DA,30,3,MAE,0.4407657992296083
277,mtr,Solubility,random-forest,No DA,30,3,RMSE,0.6096776489597495
278,mtr,Solubility,random-forest,No DA,30,3,R2,0.2774638470560326
279,mtr,Solubility,random-forest,No DA,60,3,MAE,0.4354763123976728
280,mtr,Solubility,random-forest,No DA,60,3,RMSE,0.6190963657735993
281,mtr,Solubility,random-forest,No DA,60,3,R2,0.2549669411073234
282,mtr,Solubility,random-forest,No DA,100,3,MAE,0.4332568479389632
283,mtr,Solubility,random-forest,No DA,100,3,RMSE,0.6143449126953755
284,mtr,Solubility,random-forest,No DA,100,3,R2,0.2663590455508319
285,mtr,Solubility,random-forest,MLM,0,3,MAE,0.512039211922788
286,mtr,Solubility,random-forest,MLM,0,3,RMSE,0.7074184806141758
287,mtr,Solubility,random-forest,MLM,0,3,R2,0.0272262631661585
288,mtr,Solubility,random-forest,CL,0,3,MAE,0.5209648339280415
289,mtr,Solubility,random-forest,CL,0,3,RMSE,0.7076863068471277
290,mtr,Solubility,random-forest,CL,0,3,R2,0.0264895460706999
291,mtr,Solubility,random-forest,MTR,0,3,MAE,0.4458010255468433
292,mtr,Solubility,random-forest,MTR,0,3,RMSE,0.636704707445871
293,mtr,Solubility,random-forest,MTR,0,3,R2,0.2119837810339253
294,mtr,Solubility,random-forest,No DA,0,4,MAE,0.5119026530932643
295,mtr,Solubility,random-forest,No DA,0,4,RMSE,0.6786542914219609
296,mtr,Solubility,random-forest,No DA,0,4,R2,0.0239936798532776
297,mtr,Solubility,random-forest,No DA,30,4,MAE,0.4187270794017743
298,mtr,Solubility,random-forest,No DA,30,4,RMSE,0.570808982985475
299,mtr,Solubility,random-forest,No DA,30,4,R2,0.3095423769306167
300,mtr,Solubility,random-forest,No DA,60,4,MAE,0.4239982584720234
301,mtr,Solubility,random-forest,No DA,60,4,RMSE,0.5773698979331645
302,mtr,Solubility,random-forest,No DA,60,4,R2,0.2935788300192132
303,mtr,Solubility,random-forest,No DA,100,4,MAE,0.4223732182784478
304,mtr,Solubility,random-forest,No DA,100,4,RMSE,0.5758509665199711
305,mtr,Solubility,random-forest,No DA,100,4,R2,0.2972908139347481
306,mtr,Solubility,random-forest,MLM,0,4,MAE,0.5003586131368283
307,mtr,Solubility,random-forest,MLM,0,4,RMSE,0.665973407476564
308,mtr,Solubility,random-forest,MLM,0,4,R2,0.0601269286895206
309,mtr,Solubility,random-forest,CL,0,4,MAE,0.4962681406369246
310,mtr,Solubility,random-forest,CL,0,4,RMSE,0.676646819613054
311,mtr,Solubility,random-forest,CL,0,4,R2,0.029759229021583
312,mtr,Solubility,random-forest,MTR,0,4,MAE,0.4343361505763908
313,mtr,Solubility,random-forest,MTR,0,4,RMSE,0.5999873690638111
314,mtr,Solubility,random-forest,MTR,0,4,R2,0.2371491296819254
315,mtr,RLM,svm,No DA,0,0,MAE,0.5197364435621636
316,mtr,RLM,svm,No DA,0,0,RMSE,0.6247075707652707
317,mtr,RLM,svm,No DA,0,0,R2,0.0760497077513124
318,mtr,RLM,svm,No DA,30,0,MAE,0.3866972166396011
319,mtr,RLM,svm,No DA,30,0,RMSE,0.4830437745405979
320,mtr,RLM,svm,No DA,30,0,R2,0.4475817121716247
321,mtr,RLM,svm,No DA,60,0,MAE,0.3879316580837501
322,mtr,RLM,svm,No DA,60,0,RMSE,0.4862948637510555
323,mtr,RLM,svm,No DA,60,0,R2,0.4401206702545894
324,mtr,RLM,svm,No DA,100,0,MAE,0.3891378869419539
325,mtr,RLM,svm,No DA,100,0,RMSE,0.486233398228842
326,mtr,RLM,svm,No DA,100,0,R2,0.4402621938572487
327,mtr,RLM,svm,MLM,0,0,MAE,0.5175781320489944
328,mtr,RLM,svm,MLM,0,0,RMSE,0.6253745165684205
329,mtr,RLM,svm,MLM,0,0,R2,0.0740758123054575
330,mtr,RLM,svm,CL,0,0,MAE,0.5443410221731941
331,mtr,RLM,svm,CL,0,0,RMSE,0.6820263175022383
332,mtr,RLM,svm,CL,0,0,R2,-0.1012789427335731
333,mtr,RLM,svm,MTR,0,0,MAE,0.4347830115819731
334,mtr,RLM,svm,MTR,0,0,RMSE,0.5383579318745706
335,mtr,RLM,svm,MTR,0,0,R2,0.313821192118461
336,mtr,RLM,svm,No DA,0,1,MAE,0.4857222848781721
337,mtr,RLM,svm,No DA,0,1,RMSE,0.6000542331450973
338,mtr,RLM,svm,No DA,0,1,R2,0.0737121792901973
339,mtr,RLM,svm,No DA,30,1,MAE,0.3855305639719137
340,mtr,RLM,svm,No DA,30,1,RMSE,0.493435568357611
341,mtr,RLM,svm,No DA,30,1,R2,0.373637355304012
342,mtr,RLM,svm,No DA,60,1,MAE,0.3901380039147392
343,mtr,RLM,svm,No DA,60,1,RMSE,0.495446109355365
344,mtr,RLM,svm,No DA,60,1,R2,0.3685226312295425
345,mtr,RLM,svm,No DA,100,1,MAE,0.3840834793232953
346,mtr,RLM,svm,No DA,100,1,RMSE,0.4904558439135653
347,mtr,RLM,svm,No DA,100,1,R2,0.3811793846800357
348,mtr,RLM,svm,MLM,0,1,MAE,0.4924679222627381
349,mtr,RLM,svm,MLM,0,1,RMSE,0.6091666998324862
350,mtr,RLM,svm,MLM,0,1,R2,0.0453652150137413
351,mtr,RLM,svm,CL,0,1,MAE,0.5464061797412089
352,mtr,RLM,svm,CL,0,1,RMSE,0.6744998400724683
353,mtr,RLM,svm,CL,0,1,R2,-0.170384733189036
354,mtr,RLM,svm,MTR,0,1,MAE,0.4598594815838793
355,mtr,RLM,svm,MTR,0,1,RMSE,0.5789404749711806
356,mtr,RLM,svm,MTR,0,1,R2,0.1377508553752674
357,mtr,RLM,svm,No DA,0,2,MAE,0.5063275954479324
358,mtr,RLM,svm,No DA,0,2,RMSE,0.6060524668254021
359,mtr,RLM,svm,No DA,0,2,R2,0.1017270679654711
360,mtr,RLM,svm,No DA,30,2,MAE,0.3871320663296242
361,mtr,RLM,svm,No DA,30,2,RMSE,0.4914232578354796
362,mtr,RLM,svm,No DA,30,2,R2,0.4093920617075484
363,mtr,RLM,svm,No DA,60,2,MAE,0.3831086115044034
364,mtr,RLM,svm,No DA,60,2,RMSE,0.481640430663753
365,mtr,RLM,svm,No DA,60,2,R2,0.4326726266032933
366,mtr,RLM,svm,No DA,100,2,MAE,0.383363631556618
367,mtr,RLM,svm,No DA,100,2,RMSE,0.4836859060365012
368,mtr,RLM,svm,No DA,100,2,R2,0.4278436369301787
369,mtr,RLM,svm,MLM,0,2,MAE,0.5054087904522931
370,mtr,RLM,svm,MLM,0,2,RMSE,0.6079271932406192
371,mtr,RLM,svm,MLM,0,2,R2,0.0961611452006681
372,mtr,RLM,svm,CL,0,2,MAE,0.5415710904216725
373,mtr,RLM,svm,CL,0,2,RMSE,0.6766284183064595
374,mtr,RLM,svm,CL,0,2,R2,-0.1196655986395225
375,mtr,RLM,svm,MTR,0,2,MAE,0.4351154898060433
376,mtr,RLM,svm,MTR,0,2,RMSE,0.5383639509264131
377,mtr,RLM,svm,MTR,0,2,R2,0.2911737215410558
378,mtr,RLM,svm,No DA,0,3,MAE,0.5372125756316618
379,mtr,RLM,svm,No DA,0,3,RMSE,0.6407396317124057
380,mtr,RLM,svm,No DA,0,3,R2,0.0767753400463432
381,mtr,RLM,svm,No DA,30,3,MAE,0.4158226014320573
382,mtr,RLM,svm,No DA,30,3,RMSE,0.5135327541588222
383,mtr,RLM,svm,No DA,30,3,R2,0.406964734789477
384,mtr,RLM,svm,No DA,60,3,MAE,0.4160783775831336
385,mtr,RLM,svm,No DA,60,3,RMSE,0.5173305153700464
386,mtr,RLM,svm,No DA,60,3,R2,0.3981608785577289
387,mtr,RLM,svm,No DA,100,3,MAE,0.4112031627511777
388,mtr,RLM,svm,No DA,100,3,RMSE,0.5078093749809655
389,mtr,RLM,svm,No DA,100,3,R2,0.4201099586757856
390,mtr,RLM,svm,MLM,0,3,MAE,0.5485654011508593
391,mtr,RLM,svm,MLM,0,3,RMSE,0.6574433921847331
392,mtr,RLM,svm,MLM,0,3,R2,0.028011892648854
393,mtr,RLM,svm,CL,0,3,MAE,0.5882814603535341
